PART_NO,ITEM_DESC,VOLUME,SURF_A,PC1,PC2,Distance
16-17296-000,"BRKT,STAB LINK,Z51.9,98.2,M2",144549.0,50198.6,-0.3449084843352934,0.05367485450962903,0.6152238660933789
16-17322-000,"BRKT-LIFT AXLE,W/BRKT",230337.0,115826.0,-0.020294889413166924,-0.12782388598063682,0.2809379939875227
16-17322-002,"BRKT-LIFT AXLE,65MM HAT",106765.0,50257.6,-0.37619734705309743,0.0219309893417915,0.6401247791311333
16-17328-005,"BRKT,LIFT AXLE CTRL MTG,SHORT",86580.0,41722.6,-0.42594460385817573,0.03800484967292112,0.6918150849350359
16-17329-010,"BRKT,BOX LID,LIFT AXLE CTRL",114357.0,122797.0,-0.09015619865502718,-0.2514448914798498,0.38744177239382677
16-17353-000,"BRKT-AXLE,.63UB,3IN,STAB,FR,M2",270709.0,47067.1,-0.2517509091210356,0.17098226315236206,0.5654850215507861
16-17353-001,"BRKT-AXLE,.75UB,4IN,STAB,FR,M2",264436.0,47367.8,-0.2558238544846795,0.16459034767473368,0.5663824954875953
16-17353-002,"BRKT-AXLE,.88UB,4IN,STAB,FR,M2",255881.0,47649.3,-0.2618742944066985,0.15636900623263927,0.5684232261069397
16-17357-000,"BRKT-LTL,A/L,115,LH,ARS2,21K",682613.0,135174.0,0.4315622328373815,0.1748232802826416,0.3074586109249399
16-17385-000,"BRKT-LTL,A/L, 95,LH,ARS2,18K",473506.0,87331.3,0.07266284566277441,0.18488229507785908,0.3203059723974704
16-17407-000,"SPACER,VLV MTG BKT ADAPTER",58614.2,22801.5,-0.5222302892810465,0.08763690759462012,0.795721842379717
16-17416-000,"BRKT,LOAD CUSHION,60"" SPRING",818004.0,146931.0,0.5898289191261082,0.24242108851976957,0.462401334549881
16-17506-000,"SPACER-SHACKLE BRKT,FR SUSP",181780.0,38857.9,-0.35758259417582644,0.12845915628088198,0.6474060343149179
16-17506-001,"SPACER-SHACKLE BRKT,FR SUSP",122553.0,27248.5,-0.45175027881335766,0.12382207237927244,0.7359998863296662
16-17680-002,"SPCR-SHKL BRKT AREA,.062"" THK",13148.8,18155.8,-0.5780674579741782,0.06762694029336655,0.8467577427592894
16-17716-000,"BRKT-CAM,RR SUSP,HLPR,SUBFRAME",375866.0,59166.6,-0.11738232210687431,0.21204064433295017,0.47270091650761453
16-17742-001,"BRKT, HT CONTROL VALVE",63479.5,30980.0,-0.48663613727504296,0.060159236929448905,0.7554471113192904
16-17748-030,BRKT-AXLE STOP,233019.0,79688.2,-0.15740343853710895,0.013758879112744352,0.42352131504014473
16-17752-000,"BRACKET, LH, HGT CONTROL VALVE",89176.8,43094.1,-0.4184901233451205,0.034882451199179716,0.6839459115430323
16-17752-001,"BRACKET, RH, HGT CONTROL VALVE",89173.8,43093.8,-0.41849378248893515,0.03488110562714491,0.6839492993611446
