PART_NO,ITEM_DESC,DEPT_CNTL,MSTR_NO,VOLUME,SURF_A,x_cog,y_cog,z_cog,PC1,PC2,Distance
22-77017-000,"BRKT-STEP,25IN,UPPER,WST,PTD",R,67602,183026.0,95032.5,-8.20362e-12,-324347.0,174475.0,-0.14894583709431586,-0.4488814724121142,0.3943610777072238
22-77017-001,"BRKT-STEP,25IN,UPPER,WST,POL",R,67602,183026.0,95032.5,-8.20362e-12,-324347.0,174475.0,-0.14894583709431586,-0.4488814724121142,0.3943610777072238
22-77170-000,"BRKT-SUPT,DWF,FRAME RAIL,CTR",N,78H02,2104760.0,453029.0,150003.0,-103594.0,418.064,2.7145480721611612,0.06728212343947239,2.8257479439331186
22-77170-001,"BRKT-SUPT,DWF,FRAME RAIL,CTR",N,78H02,1049080.0,227154.0,5774760.0,-527841.0,-102197.0,1.034648303527048,2.50568550272866,3.458401471397842
22-77211-010,"BRKT-FAIR,SUPT,116,GATS2",R,78203,581987.0,273385.0,1527740.0,1115770.0,-333330.0,1.1854811781836907,-1.138491662863596,1.2072810757445342
22-77211-020,"BRKT-FAIR,SUPT,116,GATS2",R,78203,581987.0,273385.0,1527740.0,1115770.0,-333330.0,1.1854811781836907,-1.138491662863596,1.2072810757445342
22-77212-000,"BRKT-FAIR,SUPT,116,BRDG,GATS2",R,78203,310263.0,144701.0,765625.0,1132360.0,-317613.0,0.4872232780767698,-1.4131086909005832,0.7653858306365853
22-77213-010,"BRKT-FAIR,SPNR,UPR,GATS2",R,78203,563217.0,361729.0,796200.0,531842.0,-46172.6,1.3727667728221076,-0.6035314627405606,1.36141967573066
22-77214-010,"BRKT-FAIR,SPNR,LWR,GATS2",R,78203,554236.0,354468.0,805082.0,531953.0,-283054.0,1.411493778495292,-0.9590000982236497,1.3943800787976874
22-77223-010,"BRKT-AIR HORN,DUAL,UNDER DECK",N,72702,14424.1,10656.0,7061.2,-9.80734,-7188.34,-0.5778822947927668,0.11331370987020128,1.096827489922175
22-77266-010,"BRKT-CONDENSER,TRIPAC,W4",N,59905,185443.0,134747.0,3082910.0,0.0213982,1811200.0,-0.5471691762069179,4.063024132436468,4.899005257352059
22-77343-000,"BRACKET-MTG,R/D,FRM,M2,MBE900",N,70204,180531.0,52178.6,64479.2,18007.0,-65449.1,-0.27615050201609254,0.007087712481763957,0.8639662393223104
22-77349-010,"BRKT-ATS SIDE MTG,AFT",R,67602,520074.0,181030.0,-1645.14,1086220.0,-252112.0,0.6577964577841388,-2.072594128474387,1.4187242566847242
22-77349-020,"BRKT-ATS SIDE MTG,FWD",R,67602,520074.0,181030.0,1645.14,1086220.0,-252112.0,0.6577964644985982,-2.0712765059290903,1.4175446510780618
22-77352-000,"BRKT-FAIR,SUPT,126,FWD,GATS2",R,78203,204271.0,95382.0,31471.1,34191.8,-239191.0,0.12833079353236135,-0.8358077511527249,0.10771910421741847
22-77353-000,"BRKT-FAIR,SUPT,126,AFT,GATS2",R,78203,220204.0,102341.0,-3213.06,28811.8,-226874.0,0.1627699726269977,-0.8283616596320755,0.1392800373483631
22-77353-001,"BRKT-FAIR,SUPT,126,AFT,GATS2",R,78203,218481.0,102260.0,-3305.26,28935.0,-226869.0,0.16108767951074995,-0.8284034955216356,0.1376356329777289
22-77461-001,"BRKT-MIR SUPT,W4",N,74402,17850.5,13621.2,941500.0,-1088560.0,1383470.0,-1.055732952105703,3.347591735297453,4.288586911243247
22-77502-010,"BRKT-REINF,INNER,LH",N,66715,157639.0,100904.0,74360.8,-916082.0,-273233.0,-0.24516998096510412,-0.26354867189873366,0.6031590234174894
22-77502-020,"BRKT-REINF,INNER,RH",N,66715,157639.0,100904.0,74360.8,916082.0,-273233.0,-0.13313362792904251,-1.5069140600879993,0.7223056901897041
22-77502-030,"BRKT-REINF,INNER,LH",N,66715,83852.3,54108.6,-39941.3,-1038550.0,-167651.0,-0.5174563960469791,-0.06030761194367578,0.9197271056001675
22-77502-040,"BRKT-REINF,INNER,RH",N,66715,83854.4,54108.6,-39943.6,1038550.0,-167660.0,-0.39043781186507437,-1.4699091126168102,0.7867760929151884
22-77502-050,"BRKT-REINF,INNER,GUSSET",N,66715,19903.9,14097.5,50254.5,-851600.0,-255287.0,-0.6784596762819571,-0.27934285825846217,0.8773314427079678
22-77565-000,"BRKT-REINF,INNER,LH",N,66715,201238.0,97226.2,313362.0,-648550.0,-286585.0,-0.2031448869058549,-0.3711354051507218,0.4882833245026005
22-77565-001,"BRKT-REINF,INNER,RH",N,66715,201329.0,97226.2,313363.0,648546.0,-286618.0,-0.12374430050643644,-1.251439665879762,0.4733854999420748
22-77566-000,"BRKT-REINF,INNER,LH",N,66715,291625.0,139383.0,453557.0,-923752.0,-366324.0,0.033130842529564476,-0.2552606491301127,0.5471294811735937
22-77566-001,"BRKT-REINF,INNER,RH",N,66715,291620.0,139383.0,453556.0,923753.0,-366342.0,0.14610679345437239,-1.509064475057478,0.7168647132937275
